PARQUE;ESPECIE PREDOMINANTE;Unidades 2022;Superficie (m2) 2022 ;Superficie (ha) 2022 ;Superficie TOTAL  Parque 2022 (ha)
PARQUE LINEAL DEL MANZANARES;Pinus halepensis;1213;;;
PARQUE LINEAL DEL MANZANARES;Pinus pinea;316;;;
PARQUE LINEAL DEL MANZANARES;Otros;37;;;
PARQUE LINEAL DEL MANZANARES;;1.566;55.145,46;5,51;88,22
;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Pinus pinea;60.449;2.893.507,42;289,35;385,93
;;;(Comprende las zonas en conservación y con bajo mantenimiento);;Superficie total ejecutada del parque 
;;;;;
PARQUE MADRID RÍO;Pinus halepensis;2.874;92.970,17;9,30;105,71
;;;;;
CASA DE CAMPO (Zona Forestal);Pinus pinea;434.170;9.462.887,98;946,29;
CASA DE CAMPO (Zona Urbana);Pinus pinea;200.030;4.065.573,17;406,56;
CASA DE CAMPO (Total);Pinus pinea;634.200;13.528.461,15;1.352,85;1516,87
;;;;;
PARQUE JUAN PABLO II (PINAR);Pinus halepensis ;8.635;148.793,57;14,88;29,60
;;;;;
;TOTAL;707.724;;;
;;;;;
;;;;;
NOTA 1: Para calcular el nº de pies de las diferentes masas forestales y árboreas de los  parques se ha utilizado el dato de densidad (ud/ha) de cada masa, valor diferente para cada una de ellas. ;;;;;
;;;;;
NOTA 2: Los datos de superficie se refieren a la superfice ocupada por la masas forestales/arbóreas dentro de cada parque, valor que difiere de la superficie total del parque;;;;;
;;;;;
NOTA 3: Los datos siempre se refieren a las zonas actualmente en conservación por parte del Ayuntamiento;;;;;
